de,6959;
devoir,23;
«le,23;
généralement,23;
Roland,23;
haut,23;
lorsqu'elle,23;
enfin,23;
moeurs,23;
Tout,23;
l'enseignement,23;
siècles,23;
suivant,23;
conseils,23;
célèbre,23;
fond,22;
chapitre,22;
works,22;
amour,22;
Jean,22;
choses,22;
cour,,22;
âme,22;
Ainsi,22;
douce,22;
général,22;
Rousseau,22;
but,22;
l'autorité,22;
langage,22;
bonheur,22;
d'ailleurs,22;
nature,22;
vostre,22;
science,22;
chambre,22;
main,21;
peut-être,21;
années,21;
beau,21;
II,,21;
selon,21;
Quand,21;
parle,21;
puissance,21;
personne,21;
belles,21;
Son,21;
bonnes,21;
porte,21;
Montaigne,21;
Gutenberg,21;
eux,21;
for,21;
eût,21;
traité,21;
mais,,21;
tel,21;
sent,21;
seront,21;
particulièrement,21;
parole,21;
autres,21;
II,20;
coeur,,20;
littérature,20;
vraie,20;
Gustave,20;
Liancourt,20;
paroles,20;
affaires,20;
père,,20;
français,20;
vertus,20;
chaque,20;
Marguerite,,20;
dernière,20;
respect,20;
compte,20;
l'école,20;
politiques,20;
Alors,20;
généreuse,20;
mérite,20;
filles.,20;
Paul,20;
parents,20;
personnes,20;
telles,20;
maréchal,20;
montre,20;
quatre,20;
soin,20;
Navarre,19;
lettres,,19;
c.,19;
d'autre,19;
soient,19;
génie,19;
Quant,19;
Sévigné,,19;
principe,19;
Pendant,19;
vie.,19;
au-dessus,19;
âge,,19;
terre,19;
salon,19;
terms,19;
petites,19;
cours,19;
hommes,,19;
divorce,19;
pauvre,19;
haut,,19;
doute,19;
liberté,19;
are,19;
communauté,19;
«Il,19;
travaux,19;
condition,19;
prend,19;
not,19;
l'hôtel,19;
foyer.,19;
l'homme,,19;
combien,19;
lois,19;
sens,19;
vieille,19;
luxe,19;
facultés,19;
voilà,19;
solide,19;
jours,19;
juge,19;
Des,18;
be,18;
rappelle,18;
mauvais,18;
vieux,18;
Fénelon,,18;
libre,18;
laisser,18;
Sur,18;
Rochefoucauld,,18;
enfants.,18;
suite,18;
véritable,18;
Liancourt,,18;
fonctions,18;
passer,18;
all,18;
laisse,18;
Lorsque,18;
religieuses,18;
partie,18;
dot,18;
alors,,18;
«la,18;
domestiques,18;
dire,,18;
puis,18;
sage,18;
sang,18;
l'enfant,18;
vue,18;
maîtresse,18;
qualités,18;
fera,18;
l'existence,18;
doute,,17;
demeure,17;
Médicis,17;
Bruyère,,17;
douleur,17;
vient,17;
titre,17;
cardinal,17;
l'autre,17;
biens,17;
élever,17;
rend,17;
vivre,17;
volonté,17;
fois,,17;
haute,17;
l'histoire,17;
robe,17;
roi.,17;
veuve,17;
Société,17;
dès,17;
fallait,17;
d'Orléans,17;
cité,17;
soins,17;
demander,17;
pris,17;
mis,17;
domestique,17;
lui-même,17;
Ier,,17;
sais,17;
double,17;
arts,17;
triste,17;
jusque,17;
d'autant,17;
Rousseau,,17;
sauver,17;
poètes,17;
compagne,17;
hors,17;
scène,16;
causerie,16;
rendu,16;
dévouement,16;
from,16;
l'art,16;
luttes,16;
Roland,,16;
écrivait,16;
ville,16;
mère.,16;
l'abbé,16;
tête,16;
épouse,16;
écrits,16;
Madeleine,16;
Quelle,16;
donna,16;
former,16;
plaisir,16;
religieuse,16;
Saint-Cyr,16;
reçu,16;
celle-ci,16;
voyons,16;
laissé,16;
Saint-Simon,,16;
doivent,16;
intérêts,16;
Cousin,,16;
acte,16;
plusieurs,16;
gouvernement,16;
prie,16;
mot,16;
maître,16;
savent,16;
aime,16;
là,,16;
trouver,16;
née,16;
conduite,16;
Femmes,16;
FEMME,16;
inspire,15;
I,,15;
Sa,15;
at,15;
l'état,15;
quoi,15;
plus,,15;
mouvement,15;
d'ailleurs,,15;
monde.,15;
poète,15;
C'était,15;
seconde,15;
frère,,15;
J'ai,15;
premières,15;
III.,15;
suivre,15;
l'époux,15;
quitter,15;
pas.,15;
Sous,15;
tour,15;
premiers,15;
plutôt,15;
règne,15;
larmes,15;
spectacle,15;
l'auteur,15;
ouvrages,15;
cent,15;
forme,15;
régime,15;
mourir,15;
Lettre,15;
heures,15;
l'avait,15;
prix,15;
l'heure,15;
mai,15;
may,15;
perdre,15;
voulait,15;
devaient,15;
cherche,15;
mains,15;
si,,15;
foyer,,15;
amis,15;
écoles,15;
vit,15;
jugement,15;
Bertin,,15;
homme,,15;
maison.,15;
chère,15;
donnent,15;
soeurs,15;
Voilà,15;
même,,14;
créature,14;
If,14;
vous,,14;
an,14;
do,14;
passe,14;
Foundation,14;
style,14;
trouvait,14;
mariée,14;
s'était,14;
pourrait,14;
souvenir,14;
donnée,14;
moi,,14;
allait,14;
affection,14;
savons,14;
corps,14;
correspondance,14;
noblesse,14;
Saint,14;
presque,14;
édition,14;
Charité,14;
sujet,14;
auquel,14;
manque,14;
discours,14;
généreux,14;
séparation,14;
douze,14;
Révolution.,14;
dernières,14;
tard,,14;
humble,14;
Racine,14;
femme:,14;
public,14;
Campan,,14;
Dieu.,14;
l'oeuvre,14;
conseil,14;
lesquelles,14;
plan,14;
cinq,14;
petits,14;
savait,14;
Ribbe,,14;
ajoute,14;
domestique,,14;
reçoit,14;
faisant,14;
valeur,14;
juste,14;
lire,14;
divin,14;
admirable,14;
religieux,14;
famille.,14;
paraît,14;
j'ay,14;
mari.,14;
maternelle,14;
voici,14;
Femme,14;
défendre,14;
exemples,13;
E.,13;
apprend,13;
dignes,13;
Literary,13;
choix,13;
l'ordre,13;
d'or,13;
trouvé,13;
III,13;
Comment,13;
produit,13;
Non,,13;
vrai,,13;
m'en,13;
Fayette,13;
veux,13;
aient,13;
mesure,13;
malheur,13;
bons,13;
avoit,13;
vingt,13;
remarquer,13;
mettre,13;
l'étude,13;
élevée,13;
hommage,13;
that,13;
porter,13;
Archive,13;
Vie,13;
vont,13;
juillet,13;
parfois,13;
devenir,13;
devenue,13;
certains,13;
beaux,13;
tome,13;
gentilhomme,13;
dignité,13;
chancelier,13;
recevoir,13;
other,13;
Mazarin,13;
question,13;
Paris.,13;
«Le,13;
feu,13;
Essais,,13;
nostre,13;
naturellement,13;
Devant,13;
Bien,13;
grandeur,13;
traits,13;
pratique,13;
côté,13;
est,,13;
aller,13;
manière,13;
Bretagne,13;
politique.,13;
où,,13;
long,13;
lesquels,13;
d'Oberkirch,,13;
dépit,13;
certaines,13;
Révolution,13;
courant,13;
joie,13;
oeuvre,13;
chrétienne,,13;
austère,13;
royale,13;
étude,13;
cercle,13;
juin,13;
Aux,12;
consentement,12;
faite,12;
coeur.,12;
classes,12;
l'amitié,12;
as,12;
lecture,12;
morale,,12;
passions,12;
royauté,12;
Joseph,12;
quelquefois,12;
connaître,12;
parti,12;
vain,12;
plume,12;
copyright,12;
d'honneur,12;
lumière,12;
veulent,12;
pays,,12;
nouveau,12;
tard,12;
maréchale,12;
gardé,12;
connaît,12;
voudrait,12;
The,12;
salut,12;
rares,12;
cour.,12;
plaisirs,12;
appartient,12;
poésie,12;
You,12;
mariage.,12;
occupations,12;
Scudéry,12;
Mère,12;
Madame,12;
jours,,12;
peuple,,12;
Rambouillet,12;
tradition,12;
l'ancienne,12;
naturel,12;
derniers,12;
projet,12;
crois,12;
croit,12;
chef,12;
modèle,12;
cependant,,12;
détails,12;
aucun,12;
propos,12;
intellectuelle,12;
suprême,12;
reconnaît,12;
prière,12;
maintenant,12;
tomber,12;
publique,12;
n'étaient,12;
nommer,12;
ton,12;
faiblesse,12;
esprits,12;
préparer,12;
saurait,12;
action,12;
maisons,12;
charité.,12;
faveur,12;
jamais,,12;
pourquoi,12;
ménage,12;
l'Académie,12;
croire,12;
vouloir,12;
méthode,12;
entière,12;
tient,12;
elles-mêmes,12;
plein,12;
Taine,,12;
justement,12;
demoiselles,12;
touchante,12;
quinze,11;
10,11;
expression,11;
pouvoir,,11;
base,11;
Chez,11;
l'exemple,11;
huit,11;
dira,11;
quelles,11;
Condé,,11;
Et,,11;
«à,11;
longtemps,11;
légèreté,11;
réellement,11;
aimable,11;
heureuse,11;
regretter,11;
savants,11;
résultats,11;
d'Angoulême,11;
supporter,11;
Inscriptions,11;
protège,11;
arriver,11;
violence,11;
pays.,11;
nomme,11;
Premier,11;
donations,11;
aucune,11;
rangs,11;
permis,11;
permet,11;
âge.,11;
viennent,11;
XIV,11;
mariages,11;
malheureusement,11;
l'illustre,11;
temps,,11;
d'Aiguillon,11;
Molière,11;
sommes,11;
saintes,11;
général,,11;
écrivit,11;
nature,,11;
dix,11;
dut,11;
catholique,11;
serviteurs,11;
charme,11;
Marguerite.,11;
autour,11;
crainte,11;
cher,11;
vieilles,11;
délicatesse,11;
l'Assemblée,11;
n'ai,11;
l'avons,11;
Toutes,11;
généreuses,11;
met,11;
Id.,,11;
exerce,11;
Corneille,11;
modeste,11;
connaissances,11;
sorte,11;
Richelieu,,11;
également,11;
pût,11;
d'Anne,11;
donnait,11;
esprit,,11;
déclare,11;
française,,11;
sert,11;
désir,11;
Rambouillet,,11;
garder,11;
honnête,11;
quand,,11;
retrouve,11;
d'entre,11;
l'histoire,,11;
honneur,11;
sacrifier,11;
provinces,11;
pensées,11;
culte,11;
jour,,11;
elle.,11;
firent,11;
capable,11;
Dames.,11;
20,10;
l'inspiration,10;
d'Autriche.,10;
Du,10;
Frank,,10;
théories,10;
OF,10;
faits,10;
Suivant,10;
it,10;
enseignements,10;
moins,,10;
d'en,10;
témoin,10;
United,10;
études,10;
l'idéal,10;
fille.,10;
rappeler,10;
d'Angoulême,,10;
trône,10;
access,10;
quels,10;
Renaissance,10;
full,10;
plus.,10;
dons,10;
permission,10;
primaire,10;
Fléchier,10;
Parlement,10;
écrivain,10;
hommages,10;
citée.,10;
raison,,10;
mort.,10;
mois,10;
suffit,10;
Qui,10;
figure,10;
vengeance,10;
novembre,10;
l'intelligence,10;
bien.,10;
Quelles,10;
race,10;
voyait,10;
sociale,10;
appris,10;
désire,10;
contribué,10;
bientôt,10;
Sales,10;
accents,10;
programme,10;
tandis,10;
faut-il,10;
page,10;
pain,10;
Geffroy,,10;
présent,10;
romans,10;
dehors,10;
Bourbon,,10;
caractère,,10;
éd.,10;
d'y,10;
vérité,10;
can,10;
délicate,10;
cru,10;
ministre,10;
Charlotte,10;
évêque,10;
doctrines,10;
français,,10;
troisième,10;
Grignan,,10;
«Si,10;
octobre,10;
siècles,,10;
Richelieu,10;
ciel,10;
paternelle,10;
longue,10;
savantes,10;
rendait,10;
Clèves,10;
lit,10;
cela,,10;
afin,10;
honte,10;
domaine,10;
verrons,10;
Saint-Cyr,,10;
actes,10;
pure,10;
autres,,10;
elles,,10;
CHAPITRE,10;
apparaît,10;
Aussi,,10;
souffle,10;
sociale,,10;
défauts,10;
régente,10;
corruption,10;
beauté,10;
répond,10;
paragraph,10;
guerres,10;
direction,10;
Miramion,,10;
présente,10;
marche,10;
programmes,10;
sein,10;
jusqu'aux,10;
maris,10;
d'Aguesseau,,10;
présence,10;
oublier,10;
pieuse,10;
exemple,10;
sollicitude,10;
justice,10;
vocation,10;
sacrifice,10;
«Les,10;
soeur,,10;
Savoie,10;
piété,,10;
DANS,10;
chrétiennes,10;
recueil,10;
monter,10;
retour,10;
plaît,10;
lois,,10;
éducatrices,10;
philosophie,10;
sort,10;
donnaient,10;
pouvaient,10;
montrer,10;
élève,10;
même.,9;
§,9;
existence,9;
Depuis,9;
prudence,9;
foi,,9;
dû,9;
dit:,9;
ny,9;
eussent,9;
utile,9;
aimait,9;
Avant,9;
culture,9;
moindre,9;
faire,,9;
fussent,9;
II.,9;
IV,,9;
XIV,,9;
XIXe,9;
Est-ce,9;
moeurs,,9;
devoir.,9;
devoir,,9;
Code,9;
liberté,,9;
fierté,9;
doux,9;
savante,9;
pourra,9;
dangereux,9;
certain,9;
souvent,,9;
Sablé,9;
Malgré,9;
vivacité,9;
enfin,,9;
future,9;
ménage,,9;
Godefroy,,9;
ménages,9;
guide,9;
Si,,9;
émotion,9;
n'ait,9;
lorsque,,9;
énergie,9;
objet,9;
must,9;
jeunesse,,9;
philosophe,9;
envoie,9;
fondatrice,9;
l'enthousiasme,9;
spirituelle,9;
témoignage,9;
confiance,9;
larmes,,9;
janvier,9;
n'avaient,9;
Renaissance,,9;
Guilhermy,,9;
ayant,9;
vues,9;
Chantal,,9;
pièce,9;
chagrin,9;
«que,9;
Deux,9;
peur,9;
familles,,9;
générale,9;
fonde,9;
talent,9;
soutenir,9;
partage,9;
cas,9;
Seigneur,9;
religieuse,,9;
Dieu!,9;
intellectuel,9;
majesté,9;
celui-ci,9;
puissant,9;
secret,9;
fière,9;
chasse,9;
recherche,9;
volontiers,9;
reconnaître,9;
pieds,9;
placer,9;
ordre,9;
humaine,9;
foule,9;
plupart,9;
heureux,9;
fautes,9;
fausse,9;
point,,9;
Mazarin,,9;
plaire,9;
danger,9;
moi,9;
nouvelles,9;
Jeunesse,9;
état,9;
soutient,9;
n'avoir,9;
brillante,9;
cents,9;
Bonneau-Avenant,,9;
lien,9;
ou,,9;
devint,9;
your,9;
pur,9;
put,9;
l'intérêt,9;
main,,9;
«Elle,9;
rue,9;
d'abord,9;
d'Orléans,,9;
affections,9;
d'amour,9;
manquer,9;
six,9;
étrange,9;
qu'avec,9;
littéraire,9;
élèves,9;
lectures,9;
Convention,9;
pierre,9;
tutelle,9;
ministre,,9;
prenant,9;
prose,9;
dit-il,,9;
Grand,9;
charité,,9;
faux,9;
Malheureusement,9;
marquis,9;
consolation,9;
estoit,9;
sublime,9;
avez,9;
avis,9;
Noailles,,9;
conversations,9;
siècle:,9;
postérité,9;
Entretiens,,9;
leçons,9;
Olympe,9;
triompher,9;
faisaient,9;
auxquels,9;
péril,9;
Dupanloup,,9;
jour.,9;
pleine,9;
anciennes,9;
ridicule,9;
l'ignorance,9;
d'Aiguillon.,9;
d'Aiguillon,,9;
entourée,9;
amour,,9;
élans,9;
supérieur,9;
beauté,,9;
coupable,8;
Ah!,8;
hauteur,8;
mauvaise,8;
faites,8;
régente,,8;
ferme,8;
13,8;
Nouvelles,8;
mars,8;
commence,8;
Élisabeth,8;
Ch.,8;
d'Autriche,,8;
race,,8;
IX,8;
héroïque,8;
coeurs,8;
étrangère,8;
Où,8;
suit,8;
ai,8;
genre,8;
no,8;
te,8;
we,8;
voulut,8;
secours,8;
voulez,8;
Fabre,,8;
conscience,8;
Tandis,8;
Marie-Antoinette,,8;
passé,8;
jeunesse,8;
superbe,8;
pureté,8;
offrent,8;
travail,,8;
sévère,8;
Ici,8;
quitte,8;
peintre,8;
mères,,8;
D'ailleurs,,8;
dot,,8;
Martin,,8;
remplit,8;
moitié,8;
classe,8;
célèbres,8;
elle-même,,8;
besoins,8;
partout,8;
marier,8;
d'aller,8;
enfant,,8;
avait,,8;
victoire,8;
ruine,8;
écrire,8;
amitié,8;
histoire,8;
princesse,,8;
lignes,8;
tenir,8;
vive,8;
Godefroy.,8;
doctrine,8;
gagner,8;
époux.,8;
Théroigne,8;
régime.,8;
including,8;
conjugale,8;
bien!,8;
période,8;
profond,8;
idée,8;
without,8;
mondaine,8;
l'évêque,,8;
romaine,8;
nous,,8;
qu'aux,8;
aimons,8;
triomphe,8;
sensibilité,8;
phrase,8;
disait:,8;
jette,8;
poétique,8;
romain,8;
riches,8;
agreement,8;
sciences,8;
défaut,8;
grâce,,8;
domestiques,,8;
compagnes,8;
groupe,8;
License,8;
revivre,8;
Legouvé,,8;
testament,8;
fêtes,8;
art,8;
car,,8;
sacrifie,8;
Brantôme,8;
combattre,8;
L'une,8;
arts,,8;
tendresses,8;
tendresse,,8;
obligée,8;
peinture,8;
«une,8;
Dieu;,8;
cri,8;
crime,8;
jugement,,8;
Launay,,8;
devons,8;
ailleurs,8;
forth,8;
traduire,8;
charmante,8;
«Ce,8;
victimes,8;
pieux,8;
fee,8;
adresse,8;
Quel,8;
vanité,8;
mourut,8;
roman,8;
prêtre,8;
conscience,,8;
entendre,8;
certainement,8;
m'a,8;
passage,8;
l'avoir,8;
devenu,8;
***,8;
diriger,8;
dit-elle,8;
travers,8;
difficile,8;
fortes,8;
qu'avait,8;
s'étaient,8;
simplicité,8;
autant,8;
Oui,,8;
exercé,8;
copy,8;
note,8;
coup,8;
traduit,8;
politique,,8;
miséricorde,8;
l'autre,,8;
Marie-Thérèse,,8;
l'en,8;
ressource,8;
perles,8;
funeste,8;
set,8;
attributions,8;
rien,,8;
fils.,8;
Charité,,8;
rapports,8;
ennemis,8;
courage,,8;
devenait,8;
forment,8;
nuit,8;
use,8;
Vous,8;
tombe,8;
courtisane,8;
grave,8;
inspirer,8;
graves,8;
mémoires,8;
meilleure,8;
divin.,8;
1882.,8;
douces,8;
l'objet,8;
joint,8;
soyez,8;
corps,,8;
questions,8;
enfans,8;
influence.,8;
d'elles,8;
l'assistance,8;
unes,8;
unie,8;
lorsqu'il,8;
propres,8;
appelle,8;
voir,,8;
malade,,8;
patrie,8;
poursuit,8;
Aussi,8;
croient,8;
remarque,8;
l'Heptaméron,8;
Navarre,,8;
(Art.,8;
peut,,8;
religieuses.,8;
journées,8;
Rose,8;
contraire,,8;
Miramion,8;
humaine,,8;
souveraine,8;
sentiments,,8;
Gournay,8;
simple,8;
inspiration,8;
d'État,8;
«J'ai,8;
étrangères,8;
Dames,8;
-,7;
littéraires,7;
l'esprit,,7;
l'âge,7;
exemple,,7;
attitude,7;
mal,,7;
15,7;
27,7;
mêle,7;
D.,7;
I.,7;
d'honneur,,7;
IV,7;
civile,7;
a,,7;
paysans,7;
l'émancipation,7;
tu,7;
quant,7;
auteurs,7;
morales,7;
l'expression,7;
Boileau,7;
regarder,7;
«A,7;
repos,7;
obtient,7;
d'où,7;
Leur,7;
Marie-Antoinette.,7;
L'évêque,7;
d'Étampes,7;
l'avaient,7;
encores,7;
royaume,7;
l'appel,7;
Dès,7;
dirige,7;
contact,7;
pénétrer,7;
soutien,7;
work,,7;
vieil,7;
Id.,7;
oublié,7;
chrétiennes,,7;
Rochefoucauld,7;
latin,,7;
ardeur,7;
justice,,7;
dots,7;
mise,7;
pourvu,7;
LES,7;
about,7;
paraissent,7;
divorce.,7;
soixante,7;
patriotisme,7;
conseille,7;
Parmi,7;
réunissait,7;
naissance,7;
sacré,7;
patriotique,7;
Paul,,7;
veiller,7;
croyait,7;
délivrance,7;
mieulx,7;
solides,7;
terre,,7;
envoyer,7;
surtout,,7;
enfans,,7;
eux-mêmes,7;
l'église,7;
fasse,7;
l'ancien,7;
mode,7;
vide,7;
épouser,7;
croyances,7;
eurent,7;
tendres,7;
heure,7;
faute,7;
époux,,7;
christianisme,7;
l'emporte,7;
sexe,,7;
conseiller,7;
suites,7;
chacun,7;
compris,7;
unique,7;
Telle,7;
L'amour,7;
répondre,7;
scènes,7;
rare,7;
aimer,7;
s'agit,7;
Boufflers,7;
communauté.,7;
immense,7;
l'ont,7;
hommes.,7;
fortune,7;
S'il,7;
l'infidélité,7;
n'eut,7;
Médicis,,7;
Médicis.,7;
Lettres,,7;
Lettres.,7;
regarde,7;
Familles,7;
âme,,7;
apporte,7;
dit-elle,,7;
dévouer,7;
jeter,7;
l'ouvrage,7;
domain,7;
sûreté,7;
terrible,7;
témoignent,7;
n'eût,7;
apprendre,7;
création,7;
compagnie,7;
l'administration,7;
destinée,7;
souhaite,7;
impressions,7;
Blanche,7;
«Vous,7;
fondation,7;
fût-ce,7;
agree,7;
air,7;
Livre,7;
seraient,7;
l'alliance,7;
peuples,7;
juger,7;
Gouges,7;
professions,7;
toutefois,7;
verra,7;
toujours,,7;
pied,7;
Valois.,7;
secondaire,7;
d'Aguesseau,7;
contente,7;
commun,7;
antiques,7;
biens,,7;
Duchesse,7;
galerie,7;
jugée,7;
disposition,7;
Cependant,7;
droit,,7;
laws,7;
bataille,7;
bienfaits,7;
Jules,7;
toilette,,7;
Seigneur,,7;
Fayette,,7;
Gournay,,7;
repose,7;
disent,7;
politiques.,7;
attire,7;
politiques,,7;
situation,7;
l'ombre,7;
maîtres,7;
dire:,7;
forte,,7;
mit,7;
associated,7;
esté,7;
Tant,7;
c'est,,7;
vaste,7;
Leurs,7;
magistrats,7;
purs,7;
l'État,7;
eux,,7;
lui-même,,7;
disant,7;
route,7;
mettant,7;
simplement,7;
riche,7;
baronne,7;
meurt,7;
imagination,7;
Origines,7;
royal,7;
cris,7;
ceste,7;
rencontrait,7;
reprendre,7;
publique,,7;
patrie,,7;
regard,7;
tué,7;
This,7;
exposée,7;
romaine.,7;
choses,,7;
l'amour,,7;
Plessis-Mornay,,7;
marché,7;
parler,,7;
appelait,7;
which,7;
Parlamente,7;
j'en,7;
contraire,7;
Christ,7;
active,7;
mari:,7;
copies,7;
sortir,7;
veuve,,7;
Contes,7;
tristesse,7;
signe,7;
lutte,7;
château,7;
prépare,7;
tâche,7;
voile,7;
contemporaine.,7;
contemporaines,7;
merveilleux,7;
Staël,7;
Louvre.,7;
reine.,7;
zèle,7;
poète,,7;
perdu,7;
